"NAME","TOTPOP","RATED","STATE"
"Chester County Prison",702,1105,39
"Clearfield County Prison",185,227,39
"Clinton County Correctional Facility",183,298,39
"Cumberland County Prison",359,720,39
"Dauphin County Prison",1079,1677,39
"Erie County Department of Corrections",718,905,39
"Franklin County Jail",265,325,39
"Lackawanna County Prison",912,1183,39
"Lancaster County Prison",790,1085,39
"Lebanon County Correctional Facility",273,645,39
"Lehigh County Department of Corrections",779,1363,39
"Luzerne County Division of Corrections",657,778,39
"Lycoming County Prison",267,393,39
"Mercer County Prison",215,311,39
"Monroe County Correctional Facility",336,435,39
"Montgomery County Correctional Facility",1001,2080,39
"Northampton County Department of Corrections",571,682,39
"Northumberland County Prison",176,285,39
"Pike County Correctional Facility",208,375,39
